title,link,head_title,head_name,inn,ogrn,reg_date,reg_cap,status,main_activity,main_activity_code,address
"ооо ""уют+""",/id/983338,генеральный директор,погосян гамлет сережаевич,3837003570,1053848033029,26 декабря 2005 г.,10 000 руб.,,56.30 подача напитков,563000,"665932, иркутская область, слюдянский район, город байкальск, микрорайон строитель, 13"
"ооо ""гостиный дворик у алексея""",/id/2983118,директор,скорнякова зинаида яковлевна,6714026125,1056735020352,28 ноября 2005 г.,100 000 руб.,,56.30 подача напитков,563000,"214532, смоленская область, смоленский район, деревня владимирская, дом 2-а"
"ооо ""ольга""",/id/163214,директор,жерлицын павел александрович,3123139167,1063123143632,21 июня 2006 г.,120 000 руб.,,56.30 подача напитков,563000,"308036, белгородская область, город белгород, бульвар юности, 7"
"ооо ""востра""",/id/279886,директор,халатян гарник фердинантович,3711018018,1063711008008,13 марта 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"153535, ивановская область, ивановский район, деревня востра, садовое неком-е товарищество востра 1, 1"
"ооо ""коллайдер бар""",/id/2654691,генеральный директор,рябков сергей валерьевич,7729542156,1067746326790,28 февраля 2006 г.,80 000 руб.,,56.30 подача напитков,563000,"127015, город москва, вятская улица, дом 27 строение 7, этаж 1 пом xii ком 20а"
"ооо ""хантер""",/id/2053254,генеральный директор,нагиева наджиба искендер кызы,8610018807,1068610010347,10 мая 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"628186, ханты-мансийский автономный округ - югра, город нягань, завокзальная улица, 2 б"
"ооо ""вента""",/id/2677914,директор,аветикянц лариса мнацакановна,2311095714,1072311000200,19 января 2007 г.,10 000 руб.,,56.30 подача напитков,563000,"350051, краснодарский край, город краснодар, лазурная улица, 68"
"ооо ""пожароохранные системы""",/id/5923941,директор,босова оксана евгеньевна,3445120562,1113460007210,10 ноября 2011 г.,10 000 руб.,,56.30 подача напитков,563000,"400119, волгоградская область, город волгоград, улица им карла маркса, дом 17а, помещение 1"
"ооо ""коктейль-бар""",/id/6003132,директор,айрапетян нарэн смбатович,2318040190,1122366009545,12 мая 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"354200, краснодарский край, город сочи, улица победы, 216/2"
"ооо ""ресторан бамбук""",/id/5843913,генеральный директор,киричок андрей станиславович,5047130396,1125047001420,2 февраля 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"141407, московская область, город химки, улица лавочкина, дом 13 корпус 1, помещение 4"
"ооо ""горница""",/id/5812216,директор,агеева екатерина валерьевна,6234099010,1126234000265,18 января 2012 г.,435 000 руб.,,56.30 подача напитков,563000,"390021, рязанская область, город рязань, владимирская улица, дом 95, помещение н2"
"ооо""инвест трейд""",/id/7276745,директор,медведев вадим спартакович,0263017780,1130280039251,26 июня 2013 г.,15 000 руб.,,56.30 подача напитков,563000,"453850, республика башкортостан, мелеузовский район, город мелеуз, смоленская улица, 106а"
"ооо ""аномалия""",/id/7227385,директор,хацкевич александр сергеевич,6319173739,1136319007660,15 июля 2013 г.,250 000 руб.,,56.30 подача напитков,563000,"443031, самарская область, город самара, солнечная улица, 48 офис, 102"
"ооо ""гранд""",/id/7823853,директор,егорова дарья игоревна,2703086051,1152703003925,25 августа 2015 г.,50 000 руб.,,56.30 подача напитков,563000,"681029, хабаровский край, город комсомольск-на-амуре, улица минина, дом 14"
"ооо ""туман""",/id/7447844,директор,белорыбкин денис алексеевич,4329017510,1154329000044,16 января 2015 г.,100 000 руб.,,56.30 подача напитков,563000,"613112, кировская область, слободской район, деревня стулово, садовая улица, дом 18, квартира 19"
"ооо ""дозари""",/id/7455934,конкурсный управляющий,крючковский александр борисович,7701070986,1157746006692,9 января 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"105062, город москва, чистопрудный бульвар, дом 23 строение 1"
"ооо ""другой берег""",/id/7619885,генеральный директор,манько александра викторовна,9705037510,1157746381100,24 апреля 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"119146, город москва, фрунзенская набережная, дом 30 строение 2, помещение iv"
"ооо ""кайзер""",/id/10324083,директор,мгдесян григорий рафаелович,5247053942,1165247050088,29 января 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"607060, нижегородская область, город выкса, улица братьев баташевых, здание 16а"
"ооо ""кофеклуб""",/id/11287166,генеральный директор,черенкова марина юрьевна,7751136784,5177746384569,26 декабря 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"108811, город москва, поселение московский, город московский, улица бианки, дом 12 корпус 1, эт 1 пом vi"
"ооо ""нирун""",/id/11529724,генеральный директор,батурин алексей сергеевич,7702436048,1187746745680,13 августа 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"127051, город москва, цветной бульвар, дом 30 строение 1, э 3 пом i к 14 оф 87"
"ооо ""баррель""",/id/11548363,ликвидатор,сон александра сергеевна,2722120050,1182724021040,3 сентября 2018 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"680038, хабаровский край, город хабаровск, улица дзержинского, дом 87, помещение 1"
